,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa
marine_sample_0,0.7294878029944065,3.302493059364703,259.0,0.5201120353823001,0.411946118811046,0.014272938165978612,259
marine_sample_1,0.7794037861097565,3.9802457385044203,303.0,0.4696811258170025,0.4828535399695026,0.014960955017321205,303
marine_sample_2,0.7431303121735471,3.5718201696957195,277.0,0.5068274832113693,0.44021859415763764,0.014054240240631934,277
marine_sample_3,0.7695387033724977,3.854788519249743,384.0,0.48006962749285526,0.44901634910180815,0.011299800464439012,384
marine_sample_4,0.7734022799322581,3.7393833219519834,280.0,0.4760270481822553,0.45998931445214536,0.015761096671056022,280
marine_sample_5,0.807363601514601,4.173990759068614,334.0,0.43890831055372626,0.4978695113108359,0.015542296261704855,334
marine_sample_6,0.7922338302010418,4.089810766514642,329.0,0.4558184767362002,0.4890980945555608,0.014629492764643488,329
marine_sample_7,0.7625321062534949,3.6929863843756987,285.0,0.4873111414154662,0.45285944272335976,0.014775773998190017,285
marine_sample_8,0.7444649146227784,3.6387993847901297,348.0,0.5055102980563109,0.4309870587881198,0.011245278565754847,348
marine_sample_9,0.7809267180014983,3.913859510389993,274.0,0.4680567886226876,0.48330995361519247,0.016659425573043226,274
mouse_sample_0,0.6080859662514462,2.0877550482943676,64.0,0.6260315666829382,0.34795917471572796,0.03986843709206077,64
mouse_sample_1,0.8477327885386412,3.572207520744206,82.0,0.39021526480372815,0.5618841211443301,0.0800902691668081,82
mouse_sample_10,0.8665869412157587,3.974682184659036,120.0,0.3652588336475016,0.5754662144476684,0.06246265102736455,120
mouse_sample_11,0.956391118620132,5.3513749171294736,158.0,0.20882838163835282,0.732685591426753,0.1451335994821567,158
mouse_sample_12,0.8898141302754699,4.541868889399254,161.0,0.3319441685904581,0.6195499096379528,0.05637002403077498,161
mouse_sample_13,0.802179193261452,3.528326789389505,111.0,0.4447719845207698,0.5192980322066874,0.04554126109148804,111
mouse_sample_14,0.9197407761377384,5.2282970990919235,162.0,0.2833019597671043,0.7123166136960779,0.0769112783443617,162
mouse_sample_15,0.9418077457727932,5.2935608346201235,169.0,0.24123192670350904,0.7152610551482422,0.10168294460995714,169
mouse_sample_16,0.5037273014259032,1.566578547975708,75.0,0.7044678223873171,0.2515049202453173,0.02686694910206223,75
mouse_sample_17,0.913628984018661,4.746036580932672,138.0,0.29389067282361064,0.6676542522699206,0.08389824675860975,138
mouse_sample_18,0.6866501135600562,2.6293031695295634,73.0,0.5597778540397892,0.42477830260270055,0.04371672283855052,73
mouse_sample_19,0.9385302550223162,5.05450371262146,132.0,0.2479319042904354,0.7175214258287104,0.12324367993568078,132
mouse_sample_2,0.8184150959019956,3.301620695121428,75.0,0.4261287533290137,0.5300556749483077,0.07342754288724962,75
mouse_sample_20,0.8529339109797428,4.127216101384917,147.0,0.38349365194875223,0.5732505458175432,0.04625621809728247,147
mouse_sample_21,0.865292682801913,3.8678119342873307,105.0,0.3670261030829511,0.5760605453152666,0.0707000163161498,105
mouse_sample_22,0.9363915182257612,5.154810804632809,204.0,0.252208759348901,0.6718619699606273,0.07706457767239142,204
mouse_sample_23,0.8545671721090535,3.7765963572947787,102.0,0.3813577226783137,0.5660005415930082,0.06741202595592082,102
mouse_sample_24,0.9585289901455977,5.520976965470416,201.0,0.20364554602860283,0.7215971330889942,0.11996631853374844,201
mouse_sample_25,0.9492662372626255,5.2788453634150505,199.0,0.22524290635613964,0.691253744385206,0.0990489440760285,199
mouse_sample_26,0.8917719135607483,4.0843064266507,101.0,0.32898136435742215,0.6134239558522829,0.09148263103189307,101
mouse_sample_27,0.9490035949941031,5.215151462617108,202.0,0.22582520112062127,0.680988175158512,0.09707537323331934,202
mouse_sample_28,0.9076064829056587,4.582245743327094,194.0,0.3039647844650953,0.6029339860177133,0.055790052563909065,194
mouse_sample_29,0.852125271619433,3.9707641348694085,108.0,0.3845460717193475,0.5878357165234276,0.06261556224421148,108
mouse_sample_30,0.9446625895232723,5.132699214571157,207.0,0.23524050561570492,0.6671486210252157,0.08729931221533738,207
mouse_sample_31,0.9025200091092414,4.574758095544278,154.0,0.31221929410010274,0.6295434811419144,0.06661373718000721,154
mouse_sample_32,0.8361395581484675,3.3260811675744346,49.0,0.40479737675091904,0.5923870083973277,0.12454600411609505,49
mouse_sample_33,0.9670654516792667,5.929327487702394,204.0,0.18147988963361314,0.7728100598472297,0.1488394720515356,204
mouse_sample_34,0.9688581558895956,5.918128913386558,224.0,0.17647170278919508,0.7580197099361345,0.14335328692992197,224
mouse_sample_35,0.8738831298999985,3.884162103207888,63.0,0.3551300343160701,0.6498210143943817,0.12585957660089195,63
mouse_sample_36,0.9565743033650914,5.795068967730336,193.0,0.2083895338413899,0.7632666130720075,0.11931523387684563,193
mouse_sample_37,0.9756057640428482,6.1053596975424576,212.0,0.15618753276478706,0.7900391487515056,0.19336457761418674,212
mouse_sample_38,0.8413653376514365,3.931487183314304,97.0,0.3982908235678171,0.5956877427507753,0.06498755188738747,97
mouse_sample_5,0.789781756991895,3.916759920459343,205.0,0.4584984609997135,0.5100293079360385,0.023204688188264093,205
mouse_sample_52,0.7849849422649232,3.0213870031290466,99.0,0.4636985309201244,0.45575870725940276,0.04697815216948994,99
mouse_sample_53,0.7888271577814383,3.438404890769268,154.0,0.45953758888005286,0.47316717940093267,0.030749723426963124,154
mouse_sample_54,0.8020499762515246,3.617251986700041,165.0,0.44491795469129136,0.4910526422133145,0.030616849373592162,165
mouse_sample_55,0.5060482781070064,2.3195847067087656,183.0,0.7028208728627457,0.3086318981092204,0.011062783329057264,183
mouse_sample_56,0.5085954489019382,2.3154994890927343,164.0,0.7010060011862893,0.3147105841235474,0.012408434073279396,164
mouse_sample_57,0.9029839565020187,4.565630917288321,168.0,0.3114755488747473,0.6176183537816897,0.06135460422589597,168
mouse_sample_58,0.9211257763142396,4.944151439388303,222.0,0.28084741705633987,0.6343196878592394,0.05710996944262453,222
mouse_sample_59,0.9129602840224356,4.867717117168026,215.0,0.29502683939966867,0.6282390244618065,0.053437246875858053,215
mouse_sample_6,0.846045758796824,4.175968672937228,212.0,0.39237253228941976,0.5403741792491397,0.03063885148737403,212
mouse_sample_60,0.9102125763621473,4.862849190372316,224.0,0.2996475051715598,0.6228548898979384,0.049720612680589846,224
mouse_sample_61,0.9547694356780382,5.688487727005127,230.0,0.21267624926651907,0.7250646792064179,0.09612584216300438,230
mouse_sample_62,0.8959414492843547,4.255082902926399,83.0,0.3225818729125018,0.6674598563270974,0.1157828231147263,83
mouse_sample_63,0.8781837106519668,4.016571072529256,59.0,0.3490225136732145,0.682783408550512,0.13913699582449593,59
mouse_sample_7,0.8815200597719817,3.7825094679970377,68.0,0.34420984757085143,0.6213605843087373,0.1241212843679634,68
mouse_sample_8,0.6575447347693404,2.277016923718315,91.0,0.5851983649508081,0.3498907156125002,0.032088894827210133,91
mouse_sample_9,0.6836362733577771,2.757115202318044,94.0,0.5624637791315783,0.4206389240741415,0.03362679402361233,94
plant_sample_0,0.7121359155160165,2.6824657143295223,89.0,0.5365313470928464,0.41423349847944685,0.039032153234124393,89
plant_sample_1,0.6900233089600873,2.591411427607113,90.0,0.5567571421020991,0.39917900007198714,0.0358449890984882,90
plant_sample_10,0.7439730686801118,2.7680866364731984,120.0,0.505993015572151,0.40077175078365657,0.03254865919914261,120
plant_sample_11,0.7131528026941003,2.625934465425369,108.0,0.5355830066864244,0.38874584729713546,0.03227941338183965,108
plant_sample_12,0.6825792783434907,2.6402279642202506,97.0,0.5634030237156827,0.4000398228509503,0.032478277715187895,97
plant_sample_13,0.756090535879565,2.8003926571640334,111.0,0.4938737048504408,0.41216091452882725,0.0369358730769079,111
plant_sample_14,0.6437476797001596,2.1634114858107014,121.0,0.5968710379123564,0.312683082699997,0.02319834100438014,121
plant_sample_15,0.7515950274676548,2.7016224662972843,126.0,0.4984046110306945,0.3872028205716744,0.03194987546183083,126
plant_sample_16,0.6769757011777356,2.530281052551061,133.0,0.5683549769591859,0.3586363941745325,0.02327625822544769,133
plant_sample_17,0.7543670796090853,2.812113345569144,115.0,0.49561554888122333,0.4107979596261624,0.03540100471905097,115
plant_sample_18,0.7222820807161684,2.7148326348626366,119.0,0.5269916041330477,0.39374973031341365,0.030258621288133235,119
plant_sample_19,0.6960617696558594,2.607670086172789,110.0,0.5513079488200631,0.3845349894906893,0.02991038370071351,110
plant_sample_2,0.6911205821523072,2.605559172106757,81.0,0.5557708021979172,0.41098120159329166,0.03996925110249102,81
plant_sample_20,0.7608413017698736,2.8614818176091545,127.0,0.4890405494172651,0.40944497367655247,0.03292381086827483,127
plant_sample_3,0.6538084692631718,2.3988970303365083,130.0,0.5883831533565189,0.3416080009204137,0.022219803228390702,130
plant_sample_4,0.7079319753807887,2.619005716124547,128.0,0.540435621301246,0.37414367373207813,0.02674890553385869,128
plant_sample_5,0.6656307582581252,2.4103051195827927,99.0,0.5782486515794929,0.3635805490207356,0.03020914856997476,99
plant_sample_6,0.6898424667007031,2.582696077762075,117.0,0.5569199720258857,0.37591833667873753,0.027556991623224017,117
plant_sample_7,0.7447930676679986,2.68406688119262,132.0,0.5051823065800771,0.38102167989389313,0.029684764071777614,132
plant_sample_8,0.7452964413387996,2.738904233165808,123.0,0.5046836875275251,0.3945118488494932,0.03191977899149582,123
plant_sample_9,0.747158763977484,2.8024872101658085,106.0,0.5028349104779344,0.41654583003653484,0.037311802507209835,106
strain_sample_0,0.730831666136067,2.3138511741525387,20.0,0.518815141618241,0.5353747501930252,0.18575736336531862,20
strain_sample_1,0.7288687726231644,2.3787988457795533,20.0,0.5207035391099979,0.5504022264029705,0.18441254621883446,20
strain_sample_10,0.7811344944463199,2.626681756815483,20.0,0.46783133031078655,0.6077569314313036,0.2284508007486667,20
strain_sample_11,0.742563655584781,2.2701263279895665,20.0,0.507382623152696,0.5252577734171513,0.19422277034572483,20
strain_sample_12,0.7450618782309888,2.344929605667457,20.0,0.5049147134687844,0.542565622144755,0.1961260232602753,20
strain_sample_13,0.6526512675752595,1.9310715657816204,20.0,0.5893638729183427,0.4468078883741697,0.14394755279791735,20
strain_sample_14,0.7814279781183433,2.575442549376544,20.0,0.4675175629626491,0.5959012951703596,0.22875754897427775,20
strain_sample_15,0.6406493764892199,2.0367109617490695,20.0,0.5994595269481207,0.4712505430523943,0.1391398726722957,20
strain_sample_16,0.658681713278654,2.01151746349407,20.0,0.5842253738695494,0.4654213164429089,0.1464908325899932,20
