Sample name	Number of taxa
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.35	294
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.05	1717
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.40	269
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.10	671
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.20	397
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.45	251
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.15	484
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.30	322
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.25	350
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.50	233
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.55	208
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.00	4318
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.65	174
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.70	158
strain_sample_81-kraken2_GTDBr202RefSeqV205-1.00	50
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.95	76
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.90	92
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.60	185
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.85	107
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.75	148
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.10	744
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.05	1821
strain_sample_81-kraken2_GTDBr202RefSeqV205-0.80	127
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.00	4255
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.50	241
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.45	254
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.55	213
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.70	163
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.60	198
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.65	182
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.40	272
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.30	320
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.20	407
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.15	524
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.35	292
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.25	349
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.80	134
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.75	151
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.85	115
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.10	525
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.25	206
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.90	97
strain_sample_14-kraken2_GTDBr202RefSeqV205-0.95	81
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.20	248
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.15	328
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.05	1716
strain_sample_14-kraken2_GTDBr202RefSeqV205-1.00	55
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.00	4295
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.30	176
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.50	131
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.70	102
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.75	95
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.85	76
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.65	109
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.55	122
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.40	147
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.45	136
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.60	116
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.35	153
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.80	83
strain_sample_58-kraken2_GTDBr202RefSeqV205-0.10	699
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.90	69
strain_sample_58-kraken2_GTDBr202RefSeqV205-0.30	312
mouse_sample_0-kraken2_GTDBr202RefSeqV205-0.95	59
