Sample name	Chao1 richness
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.40	331.5263157894737
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.55	249.0
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.25	538.578947368421
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.20	778.4594594594595
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.45	300.5
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.10	2274.714285714286
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.50	287.25
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.15	1204.314606741573
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.05	5509.325714285715
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.30	445.625
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.35	392.2307692307692
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.00	10415.518248175182
plant_sample_7-kraken2_GTDBr202RefSeqV205-1.00	88.0
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.70	198.125
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.85	144.0
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.80	163.33333333333334
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.75	179.75
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.90	120.0
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.60	226.0
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.65	215.6
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.95	103.0
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.10	1661.010101010101
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.05	3575.238434163701
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.00	9728.636591478697
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.40	512.9130434782609
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.30	608.6071428571429
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.55	377.5416666666667
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.15	1160.0967741935483
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.35	546.90625
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.60	341.8125
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.45	464.95652173913044
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.70	268.46153846153845
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.20	815.12
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.50	430.5
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.65	311.15384615384613
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.25	691.8260869565217
strain_sample_79-kraken2_GTDBr202RefSeqV205-1.00	72.0
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.95	105.0
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.90	173.33333333333334
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.80	196.6
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.75	246.11111111111111
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.25	610.0
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.15	960.3582089552239
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.85	183.125
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.10	1385.3333333333333
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.20	754.2631578947369
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.05	3422.632302405498
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.00	9604.97951142632
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.35	531.1111111111111
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.45	427.05
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.50	380.39130434782606
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.60	304.6470588235294
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.85	154.2
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.80	182.16666666666666
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.70	229.57142857142858
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.40	445.02564102564105
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.55	355.5263157894737
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.75	208.23076923076923
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.30	554.8333333333334
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.65	269.2142857142857
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.95	98.2
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.90	136.33333333333334
strain_sample_28-kraken2_GTDBr202RefSeqV205-1.00	69.0
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.20	655.081081081081
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.35	358.07142857142856
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.30	399.2
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.25	495.6666666666667
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.15	929.0441176470588
