Sample name	Precision taxa
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.15	0.06628242074927954
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.45	0.2
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.35	0.16711590296495957
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.10	0.035751295336787565
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.55	0.23387096774193547
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.25	0.1218568665377176
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.30	0.14928909952606634
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.40	0.18711656441717792
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.50	0.213768115942029
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.20	0.09925925925925926
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.05	0.014529374605180037
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.00	0.006990881458966565
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.65	0.2651162790697674
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.70	0.2878787878787879
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.75	0.3128491620111732
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.80	0.34355828220858897
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.85	0.3888888888888889
plant_sample_7-kraken2_GTDBr202RefSeqV205-1.00	0.5227272727272727
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.90	0.45
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.60	0.252212389380531
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.95	0.49514563106796117
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.10	0.012185833968012186
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.05	0.005888847994111152
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.00	0.0019438707325962824
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.20	0.01963350785340314
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.30	0.02631578947368421
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.45	0.034403669724770644
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.40	0.031315240083507306
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.35	0.028846153846153848
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.15	0.015384615384615385
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.65	0.05084745762711865
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.55	0.04120879120879121
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.60	0.046012269938650305
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.70	0.05813953488372093
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.50	0.037037037037037035
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.25	0.02262443438914027
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.75	0.06493506493506493
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.90	0.0979020979020979
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.85	0.08235294117647059
strain_sample_79-kraken2_GTDBr202RefSeqV205-1.00	0.1388888888888889
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.95	0.10476190476190476
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.80	0.07368421052631578
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.25	0.026041666666666668
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.20	0.02242152466367713
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.15	0.017605633802816902
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.10	0.013134851138353765
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.05	0.006237816764132553
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.00	0.0019459985405010946
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.45	0.0390625
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.50	0.042134831460674156
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.55	0.04294478527607362
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.35	0.03177966101694915
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.60	0.04878048780487805
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.65	0.05058365758754864
