Sample name	Faith's phylogenetic diversity
ZymoMock-kraken2_refseqV205_minimizers-100000minimizer	611.0
ani97_cLOW_stTrue_r9-kraken2_refseqV205_minimizers-100000minimizer	453.0
ani99_cHIGH_stFalse_r1-kraken2_refseqV205_minimizers-100000minimizer	706.0
ani97_cHIGH_stTrue_r5-kraken2_refseqV205_minimizers-100000minimizer	1029.0
ani100_cLOW_stTrue_r4-kraken2_refseqV205_minimizers-100000minimizer	391.0
ani99_cHIGH_stTrue_r3-kraken2_refseqV205_minimizers-100000minimizer	1047.0
ani95_cLOW_stFalse_r0-kraken2_refseqV205_minimizers-100000minimizer	916.0
ani95_cLOW_stTrue_r2-kraken2_refseqV205_minimizers-100000minimizer	551.0
ani97_cLOW_stTrue_r2-kraken2_refseqV205_minimizers-100000minimizer	674.0
ani99_cLOW_stTrue_r6-kraken2_refseqV205_minimizers-100000minimizer	398.0
RH_S001__insert_270-kraken2_refseqV205_minimizers-100000minimizer	6567.0
ani97_cLOW_stTrue_r8-kraken2_refseqV205_minimizers-100000minimizer	545.0
ani97_cLOW_stTrue_r3-kraken2_refseqV205_minimizers-100000minimizer	466.0
ani95_cLOW_stTrue_r3-kraken2_refseqV205_minimizers-100000minimizer	553.0
ani97_cLOW_stFalse_r5-kraken2_refseqV205_minimizers-100000minimizer	814.0
ani95_cLOW_stTrue_r9-kraken2_refseqV205_minimizers-100000minimizer	964.0
ani99_cHIGH_stTrue_r9-kraken2_refseqV205_minimizers-100000minimizer	3118.0
ani97_cHIGH_stFalse_r4-kraken2_refseqV205_minimizers-100000minimizer	853.0
UnAmbiguouslyMapped_ds.nycsm-kraken2_refseqV205_minimizers-100000minimizer	178.0
ani100_cLOW_stTrue_r5-kraken2_refseqV205_minimizers-100000minimizer	1072.0
ani100_cHIGH_stFalse_r6-kraken2_refseqV205_minimizers-100000minimizer	4310.0
ani99_cLOW_stTrue_r7-kraken2_refseqV205_minimizers-100000minimizer	610.0
UnAmbiguouslyMapped_ds.soil-kraken2_refseqV205_minimizers-100000minimizer	1797.0
ani97_cLOW_stFalse_r4-kraken2_refseqV205_minimizers-100000minimizer	807.0
