TAXPATH,RM1_S001__insert_5000,RM2_S001__insert_270,RH_S001__insert_270,RL_S001__insert_270,RH_S003__insert_270,RM2_S002__insert_270,RM1_S002__insert_5000,RH_S002__insert_270,RH_S004__insert_270,RH_S005__insert_270
117743,80264.0,241805.0,1805180.0,23951.0,1523473.0,1567661.0,520443.0,1519469.0,1503347.0,1606822.0
117747,99518.0,299811.0,387265.0,5212661.0,527687.0,206159.0,68440.0,389049.0,458300.0,437834.0
1236,89674.0,270158.0,2721443.0,1645042.0,2412558.0,2326244.0,772283.0,2751688.0,2701293.0,2658236.0
1760,1432221.0,4314673.0,6843531.0,3869503.0,6545121.0,7193570.0,2388168.0,6395660.0,6639469.0,6604840.0
183963,3478.0,10482.0,248029.0,0.0,404024.0,765469.0,254126.0,227359.0,366381.0,427454.0
183967,18923.0,57007.0,0.0,0.0,0.0,631455.0,209635.0,0.0,0.0,0.0
186801,1521896.0,4584829.0,2079859.0,272942.0,2281621.0,7042590.0,2338042.0,1969099.0,2301485.0,1854730.0
188708,0.0,0.0,97315.0,0.0,254312.0,0.0,0.0,65772.0,159288.0,228149.0
200643,7953.0,23960.0,166483.0,0.0,205105.0,93001.0,30874.0,232851.0,183239.0,166969.0
203490,0.0,0.0,15270.0,0.0,125459.0,0.0,0.0,201612.0,98407.0,62776.0
203494,0.0,0.0,224177.0,0.0,114181.0,0.0,0.0,133043.0,114376.0,117766.0
203692,0.0,0.0,176666.0,0.0,101006.0,0.0,0.0,107792.0,66768.0,65271.0
203693,0.0,0.0,8284.0,0.0,39923.0,0.0,0.0,16168.0,42916.0,33833.0
204430,0.0,0.0,5489.0,0.0,23954.0,0.0,0.0,12675.0,17665.0,26747.0
28211,5578855.0,16806662.0,8051635.0,1729070.0,8050026.0,3251265.0,1079369.0,7555017.0,8264967.0,8528135.0
28216,1349373.0,4065084.0,1634698.0,2117277.0,1752930.0,1364389.0,452953.0,1994648.0,1829503.0,1773288.0
28221,88683.0,267164.0,1991029.0,459662.0,2087492.0,3330708.0,1105753.0,2639916.0,1759144.0,1805330.0
29547,0.0,0.0,16868.0,0.0,23455.0,0.0,0.0,23954.0,18563.0,31138.0
31969,3015.0,9085.0,114184.0,2813856.0,86534.0,159859.0,53071.0,126855.0,58584.0,124553.0
388447,0.0,0.0,0.0,1343358.0,0.0,0.0,0.0,0.0,0.0,0.0
768503,4671.0,14076.0,773736.0,0.0,692670.0,49793.0,16530.0,742567.0,634753.0,539630.0
909932,276623.0,833345.0,102905.0,6804015.0,207003.0,94399.0,31339.0,244430.0,144516.0,144713.0
91061,362122.0,1090921.0,1053503.0,2222263.0,1058465.0,433971.0,144070.0,1166253.0,1153036.0,1277476.0
unclassified,22223161.0,66948695.0,71292882.0,71283333.0,71291576.0,71276111.0,23662748.0,71292338.0,71288784.0,71288568.0
