TAXPATH,RM1_S001__insert_5000,RM2_S001__insert_270,RH_S001__insert_270,RL_S001__insert_270,RH_S003__insert_270,RM2_S002__insert_270,RM1_S002__insert_5000,RH_S002__insert_270,RH_S004__insert_270,RH_S005__insert_270
118969,26180.0,78871.0,0.0,0.0,0.0,192290.0,63838.0,0.0,0.0,0.0
135614,0.0,0.0,875439.0,188415.0,921229.0,0.0,0.0,941081.0,998140.0,1020281.0
135619,0.0,0.0,177963.0,0.0,105198.0,0.0,0.0,125158.0,142719.0,117666.0
135622,3280.0,9883.0,0.0,0.0,0.0,1096765.0,364112.0,0.0,0.0,0.0
135623,59121.0,178110.0,98114.0,0.0,79746.0,66058.0,21930.0,122663.0,88426.0,160782.0
135624,0.0,0.0,92924.0,0.0,55592.0,0.0,0.0,62878.0,45610.0,69063.0
136,0.0,0.0,176666.0,0.0,101006.0,0.0,0.0,107792.0,66768.0,65271.0
1385,328783.0,990485.0,891112.0,2222263.0,890589.0,410422.0,136252.0,1001670.0,940055.0,1063400.0
171549,7953.0,23960.0,166483.0,0.0,205105.0,93001.0,30874.0,232851.0,183239.0,166969.0
186329,3015.0,9085.0,0.0,0.0,0.0,159859.0,53071.0,0.0,0.0,0.0
186332,0.0,0.0,0.0,2813856.0,0.0,0.0,0.0,0.0,0.0,0.0
186802,1097071.0,3305011.0,1849794.0,272942.0,2173429.0,2021482.0,671098.0,1806313.0,2138305.0,1691853.0
186826,33339.0,100436.0,162391.0,0.0,167876.0,23549.0,7818.0,164583.0,212981.0,214076.0
189778,0.0,0.0,8284.0,0.0,39923.0,0.0,0.0,16168.0,42916.0,33833.0
200644,80264.0,241805.0,1805180.0,23951.0,1523473.0,1567661.0,520443.0,1519469.0,1503347.0,1606822.0
200666,99518.0,299811.0,387265.0,5212661.0,527687.0,206159.0,68440.0,389049.0,458300.0,437834.0
203491,0.0,0.0,15270.0,0.0,125459.0,0.0,0.0,201612.0,98407.0,62776.0
2037,1394441.0,4200859.0,6835347.0,3869503.0,6530350.0,7105358.0,2358883.0,6377695.0,6596054.0,6529888.0
204441,655516.0,1974786.0,194631.0,0.0,327173.0,709188.0,235439.0,157396.0,239530.0,222859.0
204455,105947.0,319179.0,716343.0,1729070.0,693066.0,758183.0,251706.0,701245.0,1166412.0,811296.0
204457,1462289.0,4405236.0,1805776.0,0.0,2141684.0,752495.0,249818.0,1763599.0,1786090.0,2008226.0
204458,7854.0,23661.0,371291.0,0.0,483270.0,86815.0,28821.0,399524.0,491034.0,760697.0
206350,76686.0,231023.0,0.0,0.0,0.0,142396.0,47272.0,0.0,0.0,0.0
206351,331.0,998.0,18465.0,161470.0,52299.0,498.0,165.0,38825.0,83436.0,63873.0
206389,0.0,0.0,15969.0,0.0,40422.0,0.0,0.0,44713.0,68265.0,40619.0
2085,0.0,0.0,114184.0,0.0,86534.0,0.0,0.0,126855.0,58584.0,124553.0
213115,88683.0,267164.0,948903.0,0.0,1112665.0,3330708.0,1105753.0,1384137.0,920294.0,853314.0
213118,0.0,0.0,841605.0,459662.0,740079.0,0.0,0.0,1038698.0,578861.0,543723.0
213462,0.0,0.0,107397.0,0.0,176062.0,0.0,0.0,147516.0,218671.0,363782.0
213849,0.0,0.0,16868.0,0.0,23455.0,0.0,0.0,23954.0,18563.0,31138.0
218872,0.0,0.0,5489.0,0.0,23954.0,0.0,0.0,12675.0,17665.0,26747.0
2235,3478.0,10482.0,248029.0,0.0,404024.0,765469.0,254126.0,227359.0,366381.0,427454.0
2301,18923.0,57007.0,0.0,0.0,0.0,631455.0,209635.0,0.0,0.0,0.0
2419,0.0,0.0,97315.0,0.0,254312.0,0.0,0.0,65772.0,159288.0,228149.0
32003,1690.0,5091.0,0.0,0.0,0.0,154870.0,51415.0,0.0,0.0,0.0
356,3347249.0,10083800.0,4963594.0,0.0,4404833.0,944584.0,313585.0,4533253.0,4581901.0,4725057.0
388448,0.0,0.0,0.0,1343358.0,0.0,0.0,0.0,0.0,0.0,0.0
48461,0.0,0.0,224177.0,0.0,114181.0,0.0,0.0,133043.0,114376.0,117766.0
53433,0.0,0.0,28346.0,0.0,22756.0,0.0,0.0,28345.0,45411.0,60580.0
68295,424825.0,1279818.0,201719.0,0.0,85436.0,5021108.0,1666944.0,134441.0,117769.0,102297.0
69541,0.0,0.0,93124.0,0.0,58686.0,0.0,0.0,69565.0,41318.0,44511.0
72273,0.0,0.0,20161.0,0.0,27347.0,0.0,0.0,36330.0,31538.0,31038.0
72274,530.0,1597.0,1100516.0,1456627.0,912944.0,441659.0,146625.0,1115550.0,1018398.0,878160.0
768507,4671.0,14076.0,773736.0,0.0,692670.0,49793.0,16530.0,742567.0,634753.0,539630.0
80840,1270666.0,3827972.0,1600264.0,1955807.0,1660209.0,1066625.0,354101.0,1911110.0,1677802.0,1668796.0
84993,37780.0,113814.0,0.0,0.0,0.0,88212.0,29285.0,0.0,0.0,0.0
84999,0.0,0.0,8184.0,0.0,14771.0,0.0,0.0,17965.0,43415.0,74952.0
909929,276623.0,833345.0,102905.0,6804015.0,207003.0,94399.0,31339.0,244430.0,144516.0,144713.0
91347,563.0,1697.0,356326.0,0.0,310502.0,529472.0,175778.0,348028.0,376462.0,381246.0
unclassified,22223161.0,66948695.0,71292882.0,71283333.0,71291576.0,71276111.0,23662748.0,71292338.0,71288784.0,71288568.0
