TAXPATH,RM1_S001__insert_5000,RM2_S001__insert_270,RH_S001__insert_270,RL_S001__insert_270,RH_S003__insert_270,RM2_S002__insert_270,RM1_S002__insert_5000,RH_S002__insert_270,RH_S004__insert_270,RH_S005__insert_270
100175,0.0,0.0,32339.0,0.0,72960.0,0.0,0.0,137037.0,214480.0,134535.0
1004300,0.0,0.0,0.0,4785633.0,0.0,0.0,0.0,0.0,0.0,0.0
1030,0.0,0.0,20161.0,0.0,27347.0,0.0,0.0,36330.0,31538.0,31038.0
104264,0.0,0.0,84440.0,0.0,90426.0,0.0,0.0,112583.0,85632.0,81838.0
1060,73438.0,221240.0,0.0,0.0,0.0,592637.0,196748.0,0.0,0.0,0.0
106591,0.0,0.0,501947.0,0.0,568906.0,0.0,0.0,615113.0,490935.0,600713.0
1097466,0.0,0.0,0.0,725120.0,0.0,0.0,0.0,0.0,0.0,0.0
110932,0.0,0.0,538482.0,0.0,285651.0,0.0,0.0,367292.0,308195.0,354799.0
1111,0.0,0.0,42619.0,0.0,45113.0,0.0,0.0,36629.0,44812.0,27545.0
112902,276623.0,833345.0,0.0,0.0,0.0,94399.0,31339.0,0.0,0.0,0.0
115543,0.0,0.0,23455.0,0.0,18863.0,0.0,0.0,15370.0,18064.0,65670.0
1193324,0.0,0.0,10280.0,0.0,40023.0,0.0,0.0,50602.0,29542.0,25849.0
119541,7423.0,22363.0,0.0,0.0,0.0,16664.0,5532.0,0.0,0.0,0.0
1195766,0.0,0.0,13574.0,0.0,42518.0,0.0,0.0,65274.0,42117.0,36228.0
120831,0.0,0.0,267295.0,0.0,166381.0,0.0,0.0,223869.0,148907.0,100001.0
1210119,4671.0,14076.0,0.0,0.0,0.0,49793.0,16530.0,0.0,0.0,0.0
121820,2684.0,8086.0,0.0,0.0,0.0,18560.0,6161.0,0.0,0.0,0.0
1233054,0.0,0.0,10380.0,0.0,13474.0,0.0,0.0,14172.0,82937.0,50999.0
125216,0.0,0.0,168381.0,0.0,282359.0,0.0,0.0,138832.0,199010.0,164275.0
1273095,0.0,0.0,17666.0,0.0,43816.0,0.0,0.0,43117.0,39223.0,28843.0
12916,0.0,0.0,141131.0,0.0,242634.0,0.0,0.0,165179.0,231545.0,219966.0
129577,0.0,0.0,15271.0,0.0,19362.0,0.0,0.0,18763.0,23454.0,18463.0
12960,0.0,0.0,6188.0,0.0,20560.0,0.0,0.0,14671.0,27645.0,15569.0
136099,0.0,0.0,34634.0,0.0,38027.0,0.0,0.0,34034.0,23753.0,35629.0
13687,1462289.0,4405236.0,1593181.0,0.0,1722090.0,752495.0,249818.0,1380437.0,1466319.0,1705726.0
1386,1590.0,4792.0,404034.0,0.0,437958.0,205761.0,68310.0,665619.0,389635.0,571373.0
1400058,0.0,0.0,38128.0,0.0,27846.0,0.0,0.0,25251.0,213482.0,122558.0
141948,0.0,0.0,16768.0,0.0,11078.0,0.0,0.0,14072.0,29242.0,24252.0
142577,0.0,0.0,215890.0,0.0,288746.0,0.0,0.0,173565.0,215077.0,220463.0
142841,0.0,0.0,28346.0,0.0,22756.0,0.0,0.0,28345.0,45411.0,60580.0
143222,0.0,0.0,526704.0,0.0,322181.0,0.0,0.0,355014.0,260487.0,321463.0
1434019,0.0,0.0,262204.0,0.0,243432.0,0.0,0.0,233849.0,187832.0,153496.0
1481960,4407.0,13278.0,9282.0,0.0,40722.0,61269.0,20340.0,30541.0,25150.0,49901.0
1485,46031.0,138673.0,759962.0,39619.0,510819.0,220330.0,73146.0,608526.0,388637.0,386234.0
149698,351386.0,1058577.0,114782.0,0.0,175563.0,88210.0,29283.0,250218.0,143618.0,161479.0
1505657,29196.0,87956.0,0.0,0.0,0.0,26643.0,8845.0,0.0,0.0,0.0
1506553,0.0,0.0,117278.0,0.0,388556.0,0.0,0.0,91922.0,296120.0,169565.0
1562,43414.0,130787.0,71263.0,0.0,130749.0,1297.0,430.0,150709.0,264780.0,195115.0
1569,80100.0,241306.0,0.0,0.0,0.0,61867.0,20539.0,0.0,0.0,0.0
157,0.0,0.0,176666.0,0.0,101006.0,0.0,0.0,107792.0,66768.0,65271.0
1578,0.0,0.0,44415.0,0.0,88329.0,0.0,0.0,71163.0,126651.0,145812.0
