TAXPATH,RM1_S001__insert_5000,RM2_S001__insert_270,RH_S001__insert_270,RL_S001__insert_270,RH_S003__insert_270,RM2_S002__insert_270,RM1_S002__insert_5000,RH_S002__insert_270,RH_S004__insert_270,RH_S005__insert_270
100134,0,0,79250,0,70165,0,0,64775,54493,36627
100176,0,0,32339,0,72960,0,0,137037,214480,134535
1004,0,0,13075,0,59885,0,0,29044,57986,40220
1004304,0,0,0,4785633,0,0,0,0,0,0
1028,0,0,6188,0,78849,0,0,100407,56290,61678
103728,0,0,18065,0,26349,0,0,35432,87329,51798
103729,0,0,27348,0,20860,0,0,32637,64673,37426
103732,22402,67490,0,0,0,71048,23587,0,0,0
1037355,0,0,80248,0,90127,0,0,88829,75452,61878
104662,0,0,13973,0,17366,0,0,13374,15968,59482
1061,73438,221240,0,0,0,592637,196748,0,0,0
1071583,0,0,90030,0,121466,0,0,76652,182742,189227
1080,0,0,7386,0,14472,0,0,13773,24552,48304
1082,353540,1065066,0,0,0,231505,76855,0,0,0
108437,0,0,10080,0,26549,0,0,11777,19561,17365
109258,0,0,85139,0,129551,0,0,126756,189928,341926
1120994,0,0,17666,0,43816,0,0,43117,39223,28843
1121000,0,0,0,161470,0,0,0,0,0,0
1143711,2452,7387,0,0,0,15467,5134,0,0,0
114707,0,0,17367,0,16568,0,0,22057,28344,27046
1150508,0,0,56493,0,48008,0,0,36729,55391,57886
115544,0,0,23455,0,18863,0,0,15370,18064,65670
115783,0,0,23655,0,22057,0,0,25650,14671,17565
116090,78808,237413,0,0,0,2494,828,0,0,0
1167741,0,0,411023,0,400432,0,0,566909,368876,243519
116849,0,0,21259,0,34434,0,0,24552,32935,29641
1172533,0,0,128058,0,62081,0,0,81044,37027,49103
1189325,0,0,10380,0,13474,0,0,14172,82937,50999
121821,2684,8086,0,0,0,18560,6161,0,0,0
1243042,0,0,30841,0,39225,0,0,18464,39023,24252
1255265,0,0,66774,0,112285,0,0,98411,95812,67367
1256701,0,0,308218,0,193829,0,0,179056,111980,81239
1259470,0,0,384974,0,193030,0,0,266487,189928,115671
1278652,0,0,46811,0,64576,0,0,29742,43215,29342
1294566,0,0,9981,0,31240,0,0,18564,21158,63475
129578,0,0,15271,0,19362,0,0,18763,23454,18463
130788,0,0,15271,0,11378,0,0,9681,19362,15170
1387244,0,0,63978,0,59685,0,0,41519,475869,272363
1398,1590,4792,0,0,0,205761,68310,0,0,0
142842,0,0,28346,0,22756,0,0,28345,45411,60580
143223,0,0,81744,0,81842,0,0,84337,51797,93015
1456769,0,0,150915,0,76653,0,0,87930,117869,87028
148453,0,0,21659,0,32537,0,0,25750,40421,39622
1513,43314,130487,0,0,0,3791,1258,0,0,0
1513896,9577,28853,0,0,0,5588,1855,0,0,0
1516,92825,279645,0,0,0,219032,72715,0,0,0
1525,332000,1000173,0,0,0,4802076,1594229,0,0,0
1557,0,0,9282,0,40722,0,0,30541,25150,49901
1566,0,0,16568,0,26050,0,0,37328,15070,21757
157792,0,0,9282,0,71163,0,0,44514,47906,53394
158751,0,0,63580,0,32537,0,0,49504,21757,32436
158754,0,0,20461,0,27048,0,0,36430,21657,34232
160236,0,0,19662,0,17766,0,0,11477,28244,26447
160791,0,0,222379,0,205006,0,0,145819,227354,222460
166485,32378,97541,0,0,0,36222,12025,0,0,0
169973,351386,1058577,0,0,0,88210,29283,0,0,0
170623,0,0,200420,0,186742,0,0,192927,382750,288529
171291,0,0,63480,0,43916,0,0,66971,27745,93016
172045,0,0,70566,0,49804,0,0,43117,28943,39422
173053,0,0,0,3599554,0,0,0,0,0,0
176598,0,0,12576,0,43616,0,0,8583,53695,41418
176898,0,0,10879,0,39125,0,0,12276,44113,41418
180163,0,0,5689,0,11078,0,0,6786,13074,15170
180295,0,0,91826,0,45912,0,0,56691,62577,47805
180311,0,0,20461,0,64676,0,0,69965,41818,24052
182367,0,0,19163,0,19263,0,0,20959,30240,30939
182411,0,0,0,40617,0,0,0,0,0,0
1843,0,0,117278,0,160292,0,0,234948,130344,144314
184755,0,0,37629,0,22357,0,0,23255,25350,17565
185007,0,0,198326,0,94918,0,0,119370,80542,103895
185008,11499,34643,0,0,0,72944,24216,0,0,0
185641,0,0,27647,0,155702,0,0,34833,86630,48304
188872,0,0,13574,0,11278,0,0,10380,27246,34831
188932,0,0,157702,0,99909,0,0,80745,72458,44512
191027,0,0,0,39619,0,0,0,0,0,0
191564,0,0,39126,0,40023,0,0,34234,172862,128547
192,301976,909720,0,0,0,477683,158584,0,0,0
1933,0,0,46113,0,44115,0,0,38526,40920,36528
194196,331,998,0,0,0,498,165,0,0,0
196587,0,0,68070,0,185244,0,0,95216,135133,120062
198092,0,0,65875,0,116078,0,0,39723,81840,68764
198312,0,0,42619,0,45113,0,0,36629,44812,27545
198706,0,0,0,85325,0,0,0,0,0,0
201571,3115,9384,0,0,0,9380,3114,0,0,0
2030,53687,161737,0,0,0,10477,3478,0,0,0
2088,0,0,0,2813856,0,0,0,0,0,0
209080,276623,833345,0,0,0,94399,31339,0,0,0
209649,37780,113814,0,0,0,88212,29285,0,0,0
213248,0,0,67671,0,125558,0,0,88330,131043,180044
213588,0,0,16768,0,11078,0,0,14072,29242,24252
214905,42353,127592,0,0,0,331394,110018,0,0,0
218205,563,1697,0,0,0,10777,3577,0,0,0
223904,0,0,8683,0,16668,0,0,22556,16368,33933
2242,3478,10482,248029,0,404024,765469,254126,227359,366381,427454
225004,0,0,72563,0,64077,0,0,49005,34831,45710
227138,0,0,0,161370,0,0,0,0,0,0
227322,0,0,131551,0,72660,0,0,80744,149906,161780
228603,0,0,16468,0,14172,0,0,15969,26148,29142
231440,0,0,226473,0,91924,0,0,160392,75751,48604
235931,0,0,75557,0,37228,0,0,51401,122061,67167
237019,0,0,46512,0,41221,0,0,42618,37127,45510
2371,0,0,0,98299,0,0,0,0,0,0
238991,0,0,51103,0,28844,0,0,29443,39223,84932
241145,0,0,20661,0,32937,0,0,25151,22855,19661
244584,0,0,14173,0,21958,0,0,20760,15170,15968
253256,0,0,111090,0,78150,0,0,56890,66969,45909
255519,0,0,11977,0,27247,0,0,43316,116073,100202
257003,58294,175614,0,0,0,263239,87392,0,0,0
259063,0,0,38028,0,318391,0,0,27147,241627,132938
259354,0,0,0,459662,0,0,0,0,0,0
261299,29196,87956,0,0,0,26643,8845,0,0,0
261392,0,0,104103,0,36929,0,0,58787,31937,19561
262325,0,0,22856,0,12176,0,0,15769,16667,13673
263852,0,0,26150,0,33635,0,0,36729,23753,20459
264463,0,0,0,31336,0,0,0,0,0,0
265175,0,0,9981,0,14372,0,0,18564,36927,32735
266,0,0,0,897268,0,0,0,0,0,0
266809,0,0,42919,0,37727,0,0,40322,39822,40121
270918,0,0,8583,0,41321,0,0,18763,57886,78545
279824,0,0,81546,0,45712,0,0,66073,38225,77846
280,13620,41033,0,0,0,49694,16497,0,0,0
28122,0,0,5489,0,23954,0,0,12675,17665,26747
28136,265,798,0,0,0,1197,397,0,0,0
28454,0,0,37928,0,48507,0,0,20261,35131,24252
285110,389034,1171990,0,0,0,688730,228647,0,0,0
286803,0,0,24453,0,18564,0,0,19063,17964,17266
287,0,0,0,1456627,0,0,0,0,0,0
287609,0,0,62482,0,50004,0,0,37328,31937,46907
287990,0,0,26749,0,197722,0,0,21957,103697,68764
288966,3479,10482,0,0,0,13171,4372,0,0,0
28898,0,0,16868,0,23455,0,0,23954,18563,31138
288995,0,0,34235,0,77451,0,0,81743,45710,49702
289483,0,0,93024,0,118573,0,0,204307,73057,73954
291403,0,0,82244,0,34234,0,0,54195,41818,30440
292407,0,0,63180,0,49904,0,0,42518,53495,32535
293256,82155,247497,0,0,0,335585,111410,0,0,0
293552,0,0,53698,0,46910,0,0,43416,52297,57985
29357,0,0,9482,0,27447,0,0,44913,23454,17765
29365,0,0,16868,0,19662,0,0,18963,30540,35230
293890,0,0,229764,0,226863,0,0,233449,210387,198307
29524,0,0,52301,0,47209,0,0,70764,27745,33134
299072,0,0,12077,0,15470,0,0,17965,18264,12575
299255,3280,9883,0,0,0,1096765,364112,0,0,0
311234,7257,21864,0,0,0,8481,2815,0,0,0
321325,0,0,3992,0,28745,0,0,7485,32536,22056
32644,8811703,26545818,40458099,58422980,42476960,25285749,8394539,41268856,44167568,43635582
328515,0,0,0,23951,0,0,0,0,0,0
329936,0,0,22557,0,19961,0,0,29144,12775,17665
330227,0,0,3293,0,20061,0,0,12875,12076,17665
331697,0,0,15071,0,36829,0,0,18065,25849,41119
332095,0,0,83442,0,79947,0,0,102203,52697,31338
334858,0,0,125762,0,43916,0,0,74556,39223,86130
33922,0,0,36531,0,20660,0,0,39124,15669,15569
33954,0,0,9182,0,31539,0,0,11178,22955,28144
33998,0,0,26250,0,44814,0,0,18564,40520,58584
34038,563,1697,0,0,0,529472,175778,0,0,0
344998,0,0,27847,0,23155,0,0,25550,26548,17365
348840,0,0,18065,0,39225,0,0,22157,165975,113576
349095,0,0,49706,0,111087,0,0,89428,58984,47805
349273,0,0,45612,0,110587,0,0,84136,169567,225854
349931,0,0,14073,0,25451,0,0,41420,22256,47506
351343,0,0,11677,0,38226,0,0,71163,76251,57087
354,530,1597,0,0,0,441659,146625,0,0,0
355930,0,0,40623,0,105298,0,0,41918,63675,41517
35623,3015,9085,0,0,0,159859,53071,0,0,0
35837,0,0,22258,0,46511,0,0,20760,28743,21856
363850,0,0,84341,0,69467,0,0,110687,36029,22156
366349,0,0,74757,0,101405,0,0,66172,115474,128247
367474,0,0,16369,0,47109,0,0,11977,25250,18962
36845,0,0,220581,0,181251,0,0,220873,127349,162976
36874,0,0,7186,0,13574,0,0,6687,24352,16966
370622,0,0,60785,0,32537,0,0,37527,18164,28444
374425,0,0,8783,0,10679,0,0,18664,26647,19062
375061,0,0,10080,0,38426,0,0,42418,33334,85431
376490,3413,10283,0,0,0,2985743,991229,0,0,0
380392,0,0,25352,0,45113,0,0,42218,34831,28344
382,1010054,3042852,0,0,0,385378,127940,0,0,0
387889,0,0,67572,0,23854,0,0,39124,25450,30140
387890,0,0,51303,0,30142,0,0,50403,27546,52297
390806,0,0,83342,0,122865,0,0,61681,91022,70361
391736,0,0,58689,0,27148,0,0,45812,22056,59183
393003,0,0,18565,0,58288,0,0,70664,45511,43015
393921,7688,23162,0,0,0,91804,30477,0,0,0
394340,0,0,8184,0,14771,0,0,17965,43415,74952
394732,0,0,47310,0,122665,0,0,216684,84135,53095
394733,0,0,28646,0,49704,0,0,27547,48305,42915
39498,4407,13278,0,0,0,61269,20340,0,0,0
397260,0,0,75757,0,67271,0,0,45313,41518,45011
398045,0,0,0,261666,0,0,0,0,0,0
399363,961,2895,0,0,0,8681,2882,0,0,0
402884,0,0,23655,0,47808,0,0,69965,36029,36827
404881,0,0,0,725120,0,0,0,0,0,0
40571,0,0,24054,0,118772,0,0,218580,64773,45011
40575,2717,8186,0,0,0,216539,71888,0,0,0
406432,0,0,20860,0,17666,0,0,11877,45311,46807
407226,0,0,5789,0,9182,0,0,10479,27446,52097
412895,43414,130787,0,0,0,1297,430,0,0,0
412896,0,0,8284,0,39923,0,0,16168,42916,33833
41977,0,0,6188,0,20560,0,0,14671,27645,15569
41985,0,0,34335,0,76453,0,0,78948,177852,104294
420403,0,0,177964,0,51501,0,0,94318,69164,50301
421530,0,0,16968,0,17167,0,0,19263,16467,23354
42197,0,0,186748,0,72261,0,0,114081,44612,37226
422297,0,0,12276,0,17167,0,0,20959,117869,65471
42322,0,0,14672,0,12376,0,0,18664,15070,11178
424704,0,0,40024,0,116277,0,0,61781,85233,48604
424797,0,0,210103,0,78049,0,0,111186,60381,62476
428988,0,0,44116,0,52998,0,0,61382,32436,26946
429344,0,0,50804,0,66273,0,0,87931,34532,21058
43131,0,0,22856,0,30142,0,0,28345,31737,21757
433840,7224,21764,0,0,0,52288,17359,0,0,0
435289,0,0,12576,0,33935,0,0,24053,46509,25350
435906,0,0,380183,0,132446,0,0,202211,81241,96110
435912,0,0,40723,0,21758,0,0,32936,34432,89124
438851,0,0,85538,0,49505,0,0,44414,29442,49502
440515,0,0,4890,0,41820,0,0,24852,31638,42715
441209,7423,22363,0,0,0,16664,5532,0,0,0
443157,0,0,142730,0,89927,0,0,139032,281449,168866
446684,0,0,25052,0,30841,0,0,30741,30839,34232
447422,0,0,35533,0,33635,0,0,24552,46708,34132
44749,0,0,9482,0,219380,0,0,25051,128848,74253
44754,0,0,19463,0,27746,0,0,14372,16368,74453
447593,0,0,70267,0,41221,0,0,55992,40121,44811
451637,0,0,8484,0,37927,0,0,20261,46509,31138
45202,7357198,22164041,30834783,6526880,28814616,32396610,10755260,30023482,27121216,27652986
453846,1329894,4006386,0,0,0,125532,41675,0,0,0
454048,0,0,18565,0,21658,0,0,36330,16268,118367
454586,46330,139573,0,0,0,1496,496,0,0,0
45622,0,0,9581,0,114381,0,0,194826,85333,47606
45629,0,0,6088,0,48507,0,0,52100,74654,55390
456330,0,0,131452,0,44215,0,0,78449,77648,57486
457173,7854,23661,0,0,0,86815,28821,0,0,0
458711,0,0,48808,0,27048,0,0,37927,30440,22555
460257,394735,1189165,0,0,0,85615,28423,0,0,0
462367,0,0,0,165362,0,0,0,0,0,0
466,26180,78871,0,0,0,192290,63838,0,0,0
466107,0,0,13973,0,48008,0,0,20660,140325,106590
46632,18923,57007,0,0,0,631455,209635,0,0,0
468058,0,0,42020,0,66373,0,0,29742,38225,29941
47158,0,0,374494,0,142826,0,0,262496,74953,74553
480814,0,0,34135,0,20161,0,0,29044,27146,20858
48464,0,0,21659,0,45912,0,0,20161,25550,18363
48467,0,0,196729,0,59087,0,0,102403,61380,47306
490570,0,0,124665,0,53697,0,0,78848,33434,31537
491745,5501,16573,0,0,0,484269,160771,0,0,0
49280,0,0,236353,0,165382,0,0,139131,174158,193218
496053,0,0,87934,0,52699,0,0,90426,94814,61778
498057,0,0,0,79338,0,0,0,0,0,0
501571,64193,193385,0,0,0,58575,19446,0,0,0
504469,0,0,19762,0,35631,0,0,66472,28644,54093
504486,0,0,39525,0,51401,0,0,62480,35231,51199
509094,0,0,12476,0,12975,0,0,21159,15270,84234
51195,0,0,217789,0,105099,0,0,134242,65771,41318
51616,0,0,41122,0,43816,0,0,36529,61879,36627
51669,33339,100436,0,0,0,23549,7818,0,0,0
526729,0,0,4790,0,16268,0,0,11477,18763,29242
53254,0,0,30542,0,21958,0,0,19861,20460,51698
53342,0,0,44416,0,40921,0,0,44314,36428,36927
53343,0,0,13574,0,41820,0,0,71662,34332,23254
53444,0,0,15071,0,24752,0,0,21758,20260,29442
53458,3811,11481,0,0,0,679154,225470,0,0,0
54294,0,0,25751,0,62380,0,0,30641,45211,43115
55210,0,0,39226,0,43117,0,0,65574,24053,39622
554335,0,0,98713,0,58488,0,0,61481,102598,62676
55507,0,0,0,6804015,0,0,0,0,0,0
561061,43380,130687,0,0,0,23250,7718,0,0,0
561088,0,0,19563,0,18265,0,0,30741,13373,31737
561184,0,0,262204,0,243432,0,0,233849,187832,153496
561365,0,0,27548,0,54296,0,0,28445,41319,25350
563996,0,0,15371,0,208401,0,0,9282,107290,61778
568105,0,0,38128,0,27846,0,0,25251,213482,122558
57028,0,0,17267,0,47309,0,0,33635,24651,16467
57040,0,0,69469,0,36629,0,0,43915,26647,26946
570520,76819,231423,0,0,0,706795,234647,0,0,0
572036,0,0,70367,0,52100,0,0,45013,50401,41418
575302,0,0,24853,0,15869,0,0,25251,12575,16767
575978,0,0,2096,0,44714,0,0,5689,26448,25350
576117,0,0,67173,0,26349,0,0,41919,242027,135233
577679,0,0,58489,0,39923,0,0,36929,31338,48304
591202,0,0,36331,0,94619,0,0,22955,53196,29841
619730,0,0,84439,0,151210,0,0,190434,87328,95911
619805,0,0,73561,0,37029,0,0,47109,22156,169666
623280,0,0,6887,0,50204,0,0,10978,40520,56788
629679,61608,185598,0,0,0,18560,6161,0,0,0
639310,1590,4792,0,0,0,834024,276885,0,0,0
643671,0,0,95819,0,52599,0,0,51101,38424,33633
644383,0,0,0,1343358,0,0,0,0,0,0
64969,0,0,90130,0,38127,0,0,52698,63276,38823
651661,0,0,119774,0,47010,0,0,70664,59383,45310
65401,0,0,9781,0,19862,0,0,30042,40620,25050
654838,0,0,2096,0,21658,0,0,10180,30141,31537
65700,0,0,157502,0,103900,0,0,135637,142421,121160
675,48119,144964,0,0,0,1097,364,0,0,0
68170,8351,25159,0,0,0,8182,2716,0,0,0
684063,0,0,219186,0,86734,0,0,143125,144118,84533
687,11002,33146,0,0,0,64961,21566,0,0,0
688867,3280,9883,0,0,0,31333,10402,0,0,0
688913,1391,4193,0,0,0,18460,6128,0,0,0
696762,0,0,13574,0,42518,0,0,65274,42117,36228
71656,0,0,67373,0,29543,0,0,36330,20859,48504
72764,40133,120903,0,0,0,1995,662,0,0,0
72806,0,0,118975,0,72860,0,0,71363,38225,22356
745368,0,0,25751,0,30242,0,0,26149,67468,45310
745369,347077,1045597,0,0,0,388170,128867,0,0,0
74701,0,0,23056,0,23654,0,0,19562,49403,36528
756689,0,0,90227,0,152505,0,0,146018,122856,158585
759851,80100,241306,0,0,0,61867,20539,0,0,0
76007,0,0,236653,0,75256,0,0,121866,50401,32036
765201,0,0,152213,0,113383,0,0,90526,72258,66968
76595,0,0,44915,0,39025,0,0,50103,50401,30639
82367,22402,67490,0,0,0,130322,43265,0,0,0
82374,0,0,53199,0,95916,0,0,155002,85532,96908
82688,0,0,21958,0,23255,0,0,23355,42616,63774
831,4639,13977,0,0,0,109466,36341,0,0,0
83526,0,0,7386,0,40322,0,0,26050,63775,52596
83771,0,0,77653,0,36230,0,0,44115,22156,50600
86175,0,0,20062,0,35132,0,0,19163,49902,45809
86796,0,0,34634,0,64277,0,0,27746,40820,24152
875239,0,0,67471,0,40421,0,0,58686,34831,32036
876,0,0,229362,0,665723,0,0,823216,469978,495921
888,0,0,73760,0,105697,0,0,162088,77448,48105
889453,0,0,10280,0,40023,0,0,50602,29542,25849
897,0,0,275374,0,403923,0,0,531673,304600,366673
906888,0,0,95120,0,55493,0,0,84637,47407,45710
91360,0,0,48209,0,33436,0,0,50303,55291,39023
915,1690,5091,0,0,0,154870,51415,0,0,0
91624,0,0,489776,0,225469,0,0,271179,162083,94613
92487,0,0,20161,0,27347,0,0,36330,31538,31038
92511,20613,62099,0,0,0,47798,15868,0,0,0
96101,0,0,49207,0,25052,0,0,45812,117470,122558
988,0,0,45114,0,42219,0,0,25850,43215,24950
990,0,0,22657,0,34234,0,0,21558,44612,33534
990712,0,0,0,106682,0,0,0,0,0,0
unclassified,10462787,31519824,13006242,10706945,12610061,21546603,7153180,12560559,12132571,13139713
