,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa
strain_sample_79,0.7180190649527126,2.327612128119269,26.0,0.531019768357492,0.49519029446031954,0.13639765559004396,26
strain_sample_6,0.8129447623098774,2.8543219211372137,26.0,0.43249964216322917,0.607245724292796,0.20561593963625974,26
plant_sample_13,0.8936756991545917,4.22612933006775,137.0,0.3260754064096602,0.595394509446211,0.06865100466172425,137
mouse_sample_13,0.2655392600408082,0.9845793881355827,27.0,0.8570075208821715,0.20706681024263981,0.05042752460682227,27
strain_sample_1,0.8140099552392399,2.8075600431766614,26.0,0.4312664412698482,0.5972973192999445,0.20679353301415532,26
plant_sample_14,0.655533686356012,3.0206278482479743,149.0,0.5869151354901001,0.41841769445972116,0.019483499924783685,149
mouse_sample_14,0.7402310917893598,2.5816081967939515,37.0,0.5096758481759579,0.4955622050150108,0.10404257851024834,37
strain_sample_70,0.682385623252493,2.091080240053421,26.0,0.5635739257313106,0.4448690687347845,0.1210950803153162,26
strain_sample_77,0.648548766242883,2.009255101990049,26.0,0.5928343390698794,0.427461093530343,0.10943634498127469,26
mouse_sample_61,0.8416714647332153,3.2722154174899,44.0,0.3979056980567553,0.5993692468496679,0.14354501978419182,44
strain_sample_8,0.7839602351791373,2.5666892365100287,26.0,0.46480165249851996,0.5460530057654033,0.17802990339963687,26
strain_sample_93,0.8143126578277351,2.799682812604956,26.0,0.43091535109539153,0.5956214695828843,0.2071306423561016,26
strain_sample_42,0.7795401461177254,2.425889041539356,26.0,0.46953240768898535,0.5160983199458486,0.1744605096312769,26
mouse_sample_54,0.7162743835289815,2.3858547679807494,37.0,0.5326595854651843,0.4579856273831332,0.09525762024306937,37
mouse_sample_28,0.8155343148047165,2.983553632731838,42.0,0.42949521572400595,0.5532971074974956,0.12907291556322792,42
strain_sample_39,0.6813204051091302,2.113676969021328,26.0,0.5645181948951548,0.44967643364592175,0.12069030800264893,26
strain_sample_94,0.7618251197928384,2.470935299067846,26.0,0.4880325550772223,0.5256817334623833,0.16148444549687643,26
