Sample name	Number of taxa
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.25	517
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.50	276
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.20	675
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.15	1041
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.45	295
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.35	371
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.55	248
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.30	422
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.40	326
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.05	4749
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.10	1930
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.00	9870
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.70	198
plant_sample_7-kraken2_GTDBr202RefSeqV205-1.00	88
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.65	215
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.60	226
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.95	103
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.75	179
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.85	144
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.80	163
plant_sample_7-kraken2_GTDBr202RefSeqV205-0.90	120
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.10	1313
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.05	2717
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.00	8231
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.45	436
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.25	663
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.60	326
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.55	364
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.40	479
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.20	764
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.30	570
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.15	975
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.70	258
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.35	520
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.65	295
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.50	405
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.80	190
strain_sample_79-kraken2_GTDBr202RefSeqV205-1.00	72
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.75	231
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.90	143
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.10	1142
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.05	2565
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.15	852
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.85	170
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.20	669
strain_sample_79-kraken2_GTDBr202RefSeqV205-0.95	105
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.25	576
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.00	8222
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.30	518
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.85	147
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.60	287
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.35	472
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.40	427
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.75	204
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.55	326
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.50	356
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.80	173
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.65	257
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.45	384
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.70	227
strain_sample_28-kraken2_GTDBr202RefSeqV205-1.00	69
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.90	127
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.35	340
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.40	311
strain_sample_28-kraken2_GTDBr202RefSeqV205-0.95	98
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.25	459
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.20	576
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.30	374
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.15	798
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.05	3247
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.10	1242
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.00	9267
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.45	289
mouse_sample_32-kraken2_GTDBr202RefSeqV205-1.00	96
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.85	149
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.50	261
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.65	211
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.60	223
mouse_sample_32-kraken2_GTDBr202RefSeqV205-0.90	134
