Sample,Median Index,Mean Index,Number of reads,Number of correctly classified reads,Number of reads classified at a lower level by Kraken,Number of reads classified at a higher level by Kraken,Number of reads classified wrong by Kraken,Unclassified reads,Median Index of reads classified at a higher level by Kraken,Mean Index of reads classified at a higher level by Kraken,Median Index of reads classified wrong by Kraken,Mean Index of reads classified wrong by Kraken
marine_sample_0-kraken2_GTDBr202RefSeqV205,0,0.718991049,33294790,27528555,20459143,1139053,3005768,1602035,1,1.782106715,1,2.433992244
marine_sample_0-kraken2_chocophlan,1,3.725053379,33294790,15045890,3030658,1652049,4545647,12050975,1,2.077293712,2,2.668980455
marine_sample_0-kraken2_minikraken,0,1.506204154,33294790,25845440,15751861,1255233,1010856,5183183,1,1.588517829,1,1.489274437
marine_sample_0-kraken2_refseqV205,0,0.570421679,33294790,26925619,14137489,3764488,1570613,1030755,1,1.448224566,1,2.695518247
marine_sample_0-kraken2_refseqV205_100GB,0,1.506204154,33294790,25845440,15751861,1255233,1010856,5183183,1,1.588517829,1,1.489274437
marine_sample_0-kraken2_refseqV205_500GB,0,0.767147923,33294790,25863442,13317025,4433983,1486062,1503970,1,1.585939324,2,3.302872962
marine_sample_0-kraken2_refseqV208_nt,0,0.724148913,33294790,28095250,17041729,1562924,1780819,1828270,1,1.615151472,1,2.742476355
marine_sample_0-kraken2_standard_0521,0,0.897445606,33294790,27599244,17084694,1128530,1725186,2841726,1,1.449543211,1,1.546465135
marine_sample_1-kraken2_GTDBr202RefSeqV205,0,0.643787824,33301262,27675918,18600659,1268332,3071450,1254033,1,1.818792714,1,2.462047567
marine_sample_1-kraken2_chocophlan,1,3.572041054,33301262,15275155,2569272,2026187,4778060,11221773,1,2.175030242,2,2.835819768
marine_sample_1-kraken2_minikraken,0,1.207563485,33301262,26926501,14360938,1538964,778391,4057336,1,1.60443974,1,1.577046754
marine_sample_1-kraken2_refseqV205,0,0.511314226,33301262,26607520,13481673,4700072,1299716,690316,1,1.523356451,1,2.786714944
marine_sample_1-kraken2_refseqV205_100GB,0,1.207563485,33301262,26926501,14360938,1538964,778391,4057336,1,1.60443974,1,1.577046754
marine_sample_1-kraken2_refseqV205_500GB,0,0.705284773,33301262,25499666,12753332,5453334,1243734,1095910,1,1.669092522,2,3.5731129
marine_sample_1-kraken2_refseqV208_nt,0,0.569421874,33301262,28400727,15384172,2164541,1470506,1254601,1,1.608584453,1,2.78219062
marine_sample_1-kraken2_standard_0521,0,0.75612645,33301262,27851117,15521901,1678666,1509578,2261793,1,1.379625846,1,1.660679342
marine_sample_2-kraken2_GTDBr202RefSeqV205,0,0.691773543,33298832,27492926,17968990,1247543,3130071,1415565,2,1.88942826,1,2.49945768
marine_sample_2-kraken2_chocophlan,0,3.206784941,33298832,16686355,3195932,1875723,4556268,10180257,1,2.014796961,2,2.497354853
marine_sample_2-kraken2_minikraken,0,1.298188927,33298832,26356431,13830920,1644148,935313,4362827,1,1.570724777,1,1.474598343
marine_sample_2-kraken2_refseqV205,0,0.532995542,33298832,26616412,12419917,4544791,1336202,796226,1,1.53644161,1,2.658639936
marine_sample_2-kraken2_refseqV205_100GB,0,1.298188927,33298832,26356431,13830920,1644148,935313,4362827,1,1.570724777,1,1.474598343
marine_sample_2-kraken2_refseqV205_500GB,0,0.717410268,33298832,25586235,11653995,5235454,1283837,1183020,1,1.681605454,2,3.384543365
marine_sample_2-kraken2_refseqV208_nt,0,0.644422543,33298832,28040882,14706776,2122608,1650829,1468979,1,1.671008024,1,2.756800371
marine_sample_2-kraken2_standard_0521,0,0.736047138,33298832,28014339,15074593,1612719,1474445,2197122,1,1.427613862,1,1.648897721
marine_sample_3-kraken2_GTDBr202RefSeqV205,0,0.706776314,33286888,27447016,17655777,1186328,3256998,1357999,1,1.929456272,2,2.66150056
marine_sample_3-kraken2_chocophlan,0,3.175973555,33286888,16669139,3288862,1932510,4654702,10030212,1,2.017568344,2,2.480174241
marine_sample_3-kraken2_minikraken,0,1.346857027,33286888,26329009,13271097,1614808,779648,4563291,1,1.562290997,1,1.589271056
marine_sample_3-kraken2_refseqV205,0,0.546446967,33286888,26382723,11896229,4799324,1362021,733229,1,1.536523894,2,3.032158094
marine_sample_3-kraken2_refseqV205_100GB,0,1.346857027,33286888,26329009,13271097,1614808,779648,4563291,1,1.562290997,1,1.589271056
marine_sample_3-kraken2_refseqV205_500GB,0,0.744053454,33286888,25318089,11133759,5474790,1307787,1167158,1,1.681245856,2,3.73666201
marine_sample_3-kraken2_refseqV208_nt,0,0.667905903,33286888,28199300,14040455,1931619,1645201,1498199,1,1.770314953,2,3.170447258
marine_sample_3-kraken2_standard_0521,0,0.831750448,33286888,27716710,14226717,1511315,1537293,2521233,1,1.47322762,1,1.799099456
marine_sample_4-kraken2_GTDBr202RefSeqV205,0,0.84654525,33297894,26044566,15360121,1425959,4252854,1466403,2,1.980529594,2,2.631970202
marine_sample_4-kraken2_chocophlan,0,2.457137409,33297894,18729190,4265152,2234278,5007284,7326961,1,1.996088222,2,2.279360827
marine_sample_4-kraken2_minikraken,0,1.396723769,33297894,25984139,10681897,2001016,633704,4678869,1,1.641290724,1,1.755387373
marine_sample_4-kraken2_refseqV205,0,0.593915009,33297894,25635715,9948649,5619259,1330792,701143,1,1.57268316,2,3.403727254
marine_sample_4-kraken2_refseqV205_100GB,0,1.396723769,33297894,25984139,10681897,2001016,633704,4678869,1,1.641290724,1,1.755387373
marine_sample_4-kraken2_refseqV205_500GB,0,0.793371887,33297894,24511845,9058309,6360576,1262037,1137483,1,1.703865499,3,4.048314748
marine_sample_4-kraken2_refseqV208_nt,0,0.711868324,33297894,27509673,12032850,2768522,1511487,1487259,1,1.757519716,2,3.482713381
marine_sample_4-kraken2_standard_0521,0,0.866575826,33297894,27420391,12584893,1913458,1372527,2591205,1,1.545541632,1,1.875488788
marine_sample_5-kraken2_GTDBr202RefSeqV205,0,0.746264992,33298452,26784786,15700993,1231666,3928263,1267277,2,1.962982659,2,2.608811324
marine_sample_5-kraken2_chocophlan,0,2.756440179,33298452,18486057,3396541,1502654,4674627,8635021,1,2.073752174,2,2.343081705
marine_sample_5-kraken2_minikraken,0,1.235860214,33298452,26857481,11662147,1535707,748050,4157061,1,1.640261456,1,1.628694606
marine_sample_5-kraken2_refseqV205,0,0.492272253,33298452,26897749,11541601,4489316,1337733,564480,1,1.533587968,2,3.247476888
marine_sample_5-kraken2_refseqV205_100GB,0,1.235860214,33298452,26857481,11662147,1535707,748050,4157061,1,1.640261456,1,1.628694606
marine_sample_5-kraken2_refseqV205_500GB,0,0.686371276,33298452,25786184,10764486,5211465,1288095,990357,1,1.663720662,2,3.936283426
marine_sample_5-kraken2_refseqV208_nt,0,0.598593022,33298452,28285481,12955398,2121084,1656231,1228954,1,1.67466635,2,3.175407899
marine_sample_5-kraken2_standard_0521,0,0.748567231,33298452,28082089,13385342,1488256,1511804,2216050,1,1.514435017,1,1.802836876
marine_sample_6-kraken2_GTDBr202RefSeqV205,0,0.809139469,33293400,26020950,15916495,1453929,4379433,1363754,2,2.008590516,2,2.527008405
marine_sample_6-kraken2_chocophlan,0,2.955935711,33293400,16808123,3130113,1821812,5560027,9103355,1,2.035201217,2,2.297552512
marine_sample_6-kraken2_minikraken,0,1.339359423,33293400,26034583,11421221,1762650,1023475,4472581,1,1.630526764,1,1.429984123
marine_sample_6-kraken2_refseqV205,0,0.574593103,33293400,25954703,11345756,5031669,1648391,650597,1,1.616509949,2,3.074927005
marine_sample_6-kraken2_refseqV205_100GB,0,1.339359423,33293400,26034583,11421221,1762650,1023475,4472581,1,1.630526764,1,1.429984123
marine_sample_6-kraken2_refseqV205_500GB,0,0.775389567,33293400,24844710,10602668,5802676,1525683,1100587,1,1.74024002,2,3.692986682
marine_sample_6-kraken2_refseqV208_nt,0,0.7116949,33293400,27219990,12547966,2408108,2220527,1435670,1,1.737819898,2,2.930344914
marine_sample_6-kraken2_standard_0521,0,0.88315531,33293400,26864278,12959457,1816686,2052965,2559233,1,1.534514495,1,1.743952284
marine_sample_7-kraken2_GTDBr202RefSeqV205,0,0.787488816,33291302,26775138,17427891,1315186,3667622,1468379,2,1.974069067,2,2.677499481
marine_sample_7-kraken2_chocophlan,0,3.155168488,33291302,16666683,3364725,1863741,4823545,9937229,1,2.056336691,2,2.440360979
marine_sample_7-kraken2_minikraken,0,1.378956702,33291302,26227863,12240073,1658695,744837,4659785,1,1.665121677,1,1.619377125
marine_sample_7-kraken2_refseqV205,0,0.578587164,33291302,26292121,12055355,4782365,1470379,739813,1,1.560898008,2,3.454349525
marine_sample_7-kraken2_refseqV205_100GB,0,1.378956702,33291302,26227863,12240073,1658695,744837,4659785,1,1.665121677,1,1.619377125
marine_sample_7-kraken2_refseqV205_500GB,0,0.777502694,33291302,25151909,11263538,5537541,1386291,1200052,1,1.689284468,3,4.032014923
marine_sample_7-kraken2_refseqV208_nt,0,0.732968509,33291302,27493706,13439373,2418664,1811691,1558635,1,1.723355952,2,3.382523841
marine_sample_7-kraken2_standard_0521,0,0.828505085,33291302,27687202,13894882,1649092,1462026,2492806,1,1.530028646,1,1.793413387
marine_sample_8-kraken2_GTDBr202RefSeqV205,0,0.790532236,33304294,26930144,18357040,1218957,3550325,1526233,2,1.967800341,2,2.671767233
marine_sample_8-kraken2_chocophlan,1,3.421740422,33304294,16205911,3244215,1504155,4611744,10982334,1,2.19102885,2,2.563161789
marine_sample_8-kraken2_minikraken,0,1.297210294,33304294,26736669,13800265,1355065,805169,4407251,1,1.7185183,1,1.499623061
marine_sample_8-kraken2_refseqV205,0,0.560585221,33304294,26860692,13106873,4145173,1468931,820727,1,1.579493787,2,3.170426657
marine_sample_8-kraken2_refseqV205_100GB,0,1.297210294,33304294,26736669,13800265,1355065,805169,4407251,1,1.7185183,1,1.499623061
marine_sample_8-kraken2_refseqV205_500GB,0,0.752190633,33304294,25809766,12332891,4818830,1384545,1270383,1,1.707597695,2,3.757319553
marine_sample_8-kraken2_refseqV208_nt,0,0.702622761,33304294,27927526,14921941,2012554,1763463,1587855,1,1.731894399,2,3.12343667
marine_sample_8-kraken2_standard_0521,0,0.821778477,33304294,27953084,15023285,1320684,1528263,2502025,1,1.595608791,1,1.793598353
marine_sample_9-kraken2_GTDBr202RefSeqV205,0,0.848204454,33299844,26348787,17600133,1329250,4000072,1544720,2,1.983656949,2,2.753121694
marine_sample_9-kraken2_chocophlan,9,6.243348035,35235489,8530160,1957041,926619,2168879,23609732,1,2.155655129,2,2.536550448
marine_sample_9-kraken2_minikraken,0,1.434881046,33299844,26061139,12496679,1644344,722855,4871379,1,1.626172504,1,1.748309135
marine_sample_9-kraken2_refseqV205,0,0.56594112,33299844,26304268,12346477,4822616,1474999,689118,1,1.491493828,2,3.641493994
marine_sample_9-kraken2_refseqV205_100GB,0,1.434881046,33299844,26061139,12496679,1644344,722855,4871379,1,1.626172504,1,1.748309135
marine_sample_9-kraken2_refseqV205_500GB,0,0.765254516,33299844,25141508,11449571,5589391,1372523,1174630,1,1.60209386,3,4.19689069
marine_sample_9-kraken2_refseqV208_nt,0,0.740100494,33299844,27499754,14052797,2409768,1805281,1565472,1,1.650887969,2,3.546043525
marine_sample_9-kraken2_standard_0521,0,0.79812443,33299844,27942749,14759518,1582562,1367198,2407086,1,1.51964536,1,1.833290423
mouse_sample_0-kraken2_GTDBr202RefSeqV205,1,1.274371064,33170320,8952297,8356743,729562,22056268,1432193,1,1.963526061,1,1.267170176
mouse_sample_0-kraken2_chocophlan,5,4.600099336,33170320,7960363,7183629,1673925,9305083,14230949,2,2.469983422,1,2.18951932
mouse_sample_0-kraken2_minikraken,0,2.109290896,33170320,21241137,17653850,403877,4350534,7174765,2,1.977864548,1,1.055983472
mouse_sample_0-kraken2_refseqV205,1,1.065953087,33170320,8594253,6291658,14662617,9385980,527468,1,1.298871204,1,1.232255343
mouse_sample_0-kraken2_refseqV205_100GB,0,2.109290896,33170320,21241137,17653850,403877,4350534,7174765,2,1.977864548,1,1.055983472
mouse_sample_0-kraken2_refseqV205_500GB,1,1.226707822,33170320,8283740,5582653,15818989,8160191,907397,1,1.374421526,1,1.32125976
mouse_sample_0-kraken2_refseqV208_nt,1,2.065195392,33170320,7026133,4932839,830082,21093182,4220923,1,2.020602784,1,1.367153566
mouse_sample_0-kraken2_standard_0521,1,2.050727427,33170320,7152713,6356564,692460,20229290,5095856,1,1.497194062,1,1.044219792
mouse_sample_1-kraken2_GTDBr202RefSeqV205,0,0.824968844,33270054,23734584,22467809,989180,7338119,1208171,2,3.141954953,1,1.834974331
mouse_sample_1-kraken2_chocophlan,0,2.934139091,33270054,19098990,17567935,1747092,3059080,9364892,2,3.65558883,1,2.271365247
mouse_sample_1-kraken2_minikraken,9,4.680512692,33270054,14611180,13459295,436024,1258807,16963989,2,2.375194943,1,1.595861002
