@SampleID: 28
@Version: 0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_GENOMEID

2	superkingdom	2	Bacteria	100.0
544448	phylum	2|544448	Bacteria|Tenericutes	0.0
200930	phylum	2|200930	Bacteria|Deferribacteres	0.0
201174	phylum	2|201174	Bacteria|Actinobacteria	0.6653
1224	phylum	2|1224	Bacteria|Proteobacteria	0.7762
976	phylum	2|976	Bacteria|Bacteroidetes	51.0627
200918	phylum	2|200918	Bacteria|Thermotogae	0.0
1239	phylum	2|1239	Bacteria|Firmicutes	29.6433
74201	phylum	2|74201	Bacteria|Verrucomicrobia	17.8525
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	0.0
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	51.0627
188708	class	2|200918|188708	Bacteria|Thermotogae|Thermotogae	0.0
84998	class	2|201174|84998	Bacteria|Actinobacteria|Coriobacteriia	0.6653
203494	class	2|74201|203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	17.8525
1853228	class	2|976|1853228	Bacteria|Bacteroidetes|Chitinophagia	0.0
1553900	class	2|1224|1553900	Bacteria|Proteobacteria|Oligoflexia	0.0
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	0.037
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	0.0
1737404	class	2|1239|1737404	Bacteria|Firmicutes|Tissierellia	0.0
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	20.0148
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	0.1109
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	0.0
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	9.222
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	0.0
68337	class	2|200930|68337	Bacteria|Deferribacteres|Deferribacteres	0.0
526524	class	2|1239|526524	Bacteria|Firmicutes|Erysipelotrichia	0.4066
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	0.6283
84999	order	2|201174|84998|84999	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.1663
1970189	order	2|976|200643|1970189	Bacteria|Bacteroidetes|Bacteroidia|Marinilabiliales	0.0
204441	order	2|1224|28211|204441	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.1109
171549	order	2|976|200643|171549	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	51.0627
191393	order	2|200930|68337|191393	Bacteria|Deferribacteres|Deferribacteres|Deferribacterales	0.0
2085	order	2|544448|31969|2085	Bacteria|Tenericutes|Mollicutes|Mycoplasmatales	0.0
204455	order	2|1224|28211|204455	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	0.0
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0.0
1853229	order	2|976|1853228|1853229	Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	0.0
1643822	order	2|201174|84998|1643822	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.499
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	20.0148
526525	order	2|1239|526524|526525	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales	0.4066
135622	order	2|1224|1236|135622	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	0.0
1843489	order	2|1239|909932|1843489	Bacteria|Firmicutes|Negativicutes|Veillonellales	0.0
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0.0
186826	order	2|1239|91061|186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	9.222
48461	order	2|74201|203494|48461	Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	17.8525
91347	order	2|1224|1236|91347	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.0
213849	order	2|1224|29547|213849	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	0.037
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0.0
213481	order	2|1224|1553900|213481	Bacteria|Proteobacteria|Oligoflexia|Bdellovibrionales	0.0
1737405	order	2|1239|1737404|1737405	Bacteria|Firmicutes|Tissierellia|Tissierellales	0.0
1769716	order	2|200918|188708|1769716	Bacteria|Thermotogae|Thermotogae|Mesoaciditogales	0.0
909929	order	2|1239|909932|909929	Bacteria|Firmicutes|Negativicutes|Selenomonadales	0.0
213115	order	2|1224|28221|213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	0.6283
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	0.0
213483	family	2|1224|1553900|213481|213483	Bacteria|Proteobacteria|Oligoflexia|Bdellovibrionales|Bdellovibrionaceae	0.0
84107	family	2|201174|84998|84999|84107	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	0.1663
2005519	family	2|976|200643|171549|2005519	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae	0.037
1300	family	2|1239|91061|186826|1300	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	0.0185
2005525	family	2|976|200643|171549|2005525	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae	0.3511
69657	family	2|1224|28211|204455|69657	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae	0.0
1853231	family	2|976|200643|171549|1853231	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae	0.0185
171550	family	2|976|200643|171549|171550	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae	0.0
171551	family	2|976|200643|171549|171551	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	8.1685
171552	family	2|976|200643|171549|171552	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	18.4254
191394	family	2|200930|68337|191393|191394	Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae	0.0
1843491	family	2|1239|909932|909929|1843491	Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae	0.0
1471398	family	2|976|200643|1970189|1471398	Bacteria|Bacteroidetes|Bacteroidia|Marinilabiliales|Prolixibacteraceae	0.0
2092	family	2|544448|31969|2085|2092	Bacteria|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae	0.0
815	family	2|976|200643|171549|815	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	24.0067
1643824	family	2|201174|84998|84999|1643824	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	0.0
