File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
RefSeqV93_ani99_cHIGH_stFalse_r7_0.55,365.82,159.58,1:34.41,833739184, 12 ,556%
RefSeqV93_ani97_cLOW_stTrue_r5_0.50,356.72,159.16,1:33.34,833689800, 12 ,552%
RefSeqV93_Huttenhower_LC7_0.75,4.09,26.58,0:11.32,152076828, 24 ,270%
RefSeqV93_ani99_cHIGH_stTrue_r2_0.90,373.13,155.75,1:32.18,833717676, 12 ,573%
RefSeqV93_ani100_cHIGH_stFalse_r5_0.10,386.96,155.51,1:38.78,825776400, 12 ,549%
RefSeqV93_ani100_cHIGH_stTrue_r2_0.35,353.77,146.64,1:28.96,833685692, 12 ,562%
RefSeqV93_ani100_cLOW_stFalse_r5_0.75,360.80,160.35,1:33.85,823952452, 12 ,555%
RefSeqV93_UnAmbiguouslyMapped_ds.7_0.50,78.73,147.98,0:59.23,824908444, 24 ,382%
RefSeqV93_MGRG_nanopore_b7.pass.2d_0.00,0.77,11.01,0:44.15,16143856, 24 ,26%
RefSeqV93_ani95_cLOW_stFalse_r7_0.45,335.38,138.07,1:22.17,728172176, 12 ,576%
RefSeqV93_MGRG_nanopore_b1.pass.2d_0.25,0.18,0.42,0:00.40,1842868, 24 ,150%
RefSeqV93_ani99_cHIGH_stTrue_r5_0.10,354.71,156.16,1:30.46,833720920, 12 ,564%
RefSeqV93_ani100_cHIGH_stFalse_r2_0.90,342.64,146.92,1:27.90,758813640, 12 ,556%
RefSeqV93_ani95_cLOW_stTrue_r7_0.40,324.41,156.44,1:31.10,831971200, 12 ,527%
RefSeqV93_ani99_cLOW_stFalse_r2_0.50,361.28,156.94,1:33.52,825986364, 12 ,554%
RefSeqV93_UnAmbiguouslyMapped_ds.gut_0.75,8.10,39.43,0:15.73,226826016, 24 ,302%
RefSeqV93_MGRG_nanopore_b8.fail.2d_0.10,1.73,17.44,0:09.13,104897792, 24 ,209%
RefSeqV93_ani97_cHIGH_stFalse_r5_0.45,361.00,162.95,1:36.52,833697776, 12 ,542%
RefSeqV93_ani100_cLOW_stTrue_r2_0.90,356.42,162.39,1:36.40,821122816, 12 ,538%
RefSeqV93_NA12878_NegControl_SL126487_0_0.55,766.91,165.36,1:28.69,828366520, 24 ,1051%
RefSeqV93_ani99_cHIGH_stFalse_r8_0.55,343.28,155.05,1:28.23,833678520, 12 ,564%
RefSeqV93_Huttenhower_LC8_0.75,4.58,30.16,0:12.72,173900436, 24 ,273%
RefSeqV93_Raiphy_eval_RAIphy_0.95,24.97,106.16,0:42.89,570109812, 24 ,305%
RefSeqV93_ani97_cHIGH_stTrue_r2_0.00,363.03,152.45,1:31.90,833713108, 12 ,560%
RefSeqV93_ani97_cLOW_stFalse_r5_0.40,348.11,151.23,1:28.43,832278780, 12 ,564%
RefSeqV93_RH_S005__insert_270_0.85,2874.03,210.16,3:01.28,834066412, 24 ,1701%
RefSeqV93_ani95_cLOW_stFalse_r8_0.45,337.60,120.85,1:14.36,625392976, 12 ,616%
RefSeqV93_MGRG_nanopore_b9.fail.2d_0.50,0.31,0.61,0:00.70,3190268, 24 ,130%
RefSeqV93_ani97_cHIGH_stTrue_r5_0.80,364.66,158.82,1:36.92,833763188, 12 ,540%
RefSeqV93_Carma_eval_carma_0.45,1.74,12.12,0:08.21,64127948, 24 ,168%
RefSeqV93_RH_S004__insert_270_1.00,2909.78,218.22,3:03.10,833989256, 24 ,1708%
RefSeqV93_ani95_cLOW_stTrue_r8_0.40,342.85,152.09,1:28.03,832574828, 12 ,562%
RefSeqV93_ani100_cLOW_stTrue_r5_0.10,369.70,157.86,1:31.47,833142792, 12 ,576%
RefSeqV93_ani95_cLOW_stFalse_r3_0.50,363.90,172.06,1:51.08,828083412, 12 ,482%
RefSeqV93_RH_S003__insert_270_0.45,2865.72,208.18,3:03.72,835158840, 24 ,1673%
RefSeqV93_UnAmbiguouslyMapped_ds.cityparks_0.55,21.52,108.09,0:40.36,609650644, 24 ,321%
RefSeqV93_ani99_cHIGH_stTrue_r1_0.05,359.12,159.79,1:33.83,833719728, 12 ,553%
RefSeqV93_ani100_cHIGH_stFalse_r6_0.85,374.77,158.18,1:37.46,830227664, 12 ,546%
RefSeqV93_ani95_cLOW_stTrue_r3_0.55,348.38,155.70,1:29.31,831817516, 12 ,564%
RefSeqV93_ani97_cHIGH_stFalse_r1_0.50,373.43,161.26,1:35.15,833728516, 12 ,561%
RefSeqV93_ani99_cHIGH_stFalse_r3_0.40,345.72,162.65,1:35.23,833723000, 12 ,533%
RefSeqV93_Huttenhower_LC3_0.60,4.40,27.06,0:11.32,157015716, 24 ,277%
RefSeqV93_ani97_cLOW_stTrue_r1_0.45,353.76,159.01,1:34.09,833095088, 12 ,544%
RefSeqV93_ani99_cHIGH_stTrue_r6_0.85,368.42,158.19,1:31.33,833736892, 12 ,576%
RefSeqV93_ani100_cLOW_stTrue_r9_0.85,339.73,146.17,1:27.66,832478284, 12 ,554%
RefSeqV93_ani100_cHIGH_stFalse_r1_0.05,360.68,152.20,1:51.83,679961460, 12 ,458%
RefSeqV93_ani100_cHIGH_stTrue_r6_0.20,353.75,153.79,1:34.10,833704308, 12 ,539%
RefSeqV93_RM2_S001__insert_270_0.75,2874.44,234.28,3:10.44,834384508, 24 ,1632%
RefSeqV93_ani100_cLOW_stFalse_r1_0.60,361.44,157.82,1:32.28,827656840, 12 ,562%
RefSeqV93_MGRG_nanopore_b1.fail.2d_1.00,0.37,1.58,0:01.68,8559240, 24 ,115%
RefSeqV93_JGI_SRR033548_0.75,1.14,9.74,0:05.50,52133428, 24 ,197%
RefSeqV93_ani97_cHIGH_stTrue_r9_0.15,375.97,178.07,1:51.75,833734160, 12 ,495%
RefSeqV93_UnAmbiguouslyMapped_ds.frankengenome_0.40,17.19,96.67,0:36.53,538880216, 24 ,311%
RefSeqV93_ani97_cHIGH_stTrue_r1_0.95,346.34,157.69,1:31.42,833743884, 12 ,551%
RefSeqV93_RM2_S002__insert_270_0.15,2792.89,206.78,3:00.17,835850688, 24 ,1664%
RefSeqV93_RM1_S001__insert_5000_0.80,963.21,175.46,1:42.61,833961332, 24 ,1109%
RefSeqV93_ani100_cLOW_stTrue_r1_0.05,379.29,161.85,1:44.58,831220144, 12 ,517%
RefSeqV93_ani100_cHIGH_stFalse_r9_0.85,354.97,153.36,1:32.36,833399452, 12 ,550%
RefSeqV93_ani100_cLOW_stTrue_r6_0.85,335.78,158.96,1:33.18,818671284, 12 ,530%
RefSeqV93_ani99_cHIGH_stTrue_r9_0.85,362.84,162.12,1:36.34,833742924, 12 ,544%
RefSeqV93_MGRG_nanopore_R6_2d_fail_0.80,3.75,36.12,0:15.60,204517616, 24 ,255%
RefSeqV93_BioPool_0.70,16.89,39.46,0:09.49,113037084, 24 ,593%
RefSeqV93_ani97_cHIGH_stTrue_r6_0.15,334.53,148.79,1:25.59,833737228, 12 ,564%
