File name,User time (s),System time (s),Wall time (h:mm:ss or m:ss),Maximum set size (kb),Threads,CPU (%)
RefSeqV205_Complete_ani97_cLOW_stTrue_r6_0.00,357.95,136.87,1:19.35,1158520180, 12 ,623%
RefSeqV205_Complete_ani95_cLOW_stTrue_r3_0.90,373.74,131.28,1:13.77,1147150784, 12 ,684%
RefSeqV205_Complete_ani97_cHIGH_stTrue_r4_0.20,375.78,140.26,1:14.85,1161926336, 12 ,689%
RefSeqV205_Complete_ani100_cHIGH_stFalse_r0_0.10,418.59,139.30,1:20.66,1161893312, 12 ,691%
RefSeqV205_Complete_ani97_cLOW_stFalse_r3_0.60,360.45,138.59,1:14.79,1138559844, 12 ,667%
RefSeqV205_Complete_Huttenhower_LC7_0.50,4.33,22.51,0:08.94,205890756, 12 ,300%
RefSeqV205_Complete_ani100_cLOW_stTrue_r3_0.30,371.86,133.50,1:14.61,1153417988, 12 ,677%
RefSeqV205_Complete_ani100_cHIGH_stFalse_r7_0.90,412.52,138.96,1:20.61,1161922368, 12 ,684%
RefSeqV205_Complete_ani95_cLOW_stTrue_r4_0.10,408.48,141.51,1:21.04,1158960552, 12 ,678%
RefSeqV205_Complete_RH_S005__insert_270_0.30,3024.75,208.75,5:12.77,1163498396, 12 ,1033%
RefSeqV205_Complete_ani97_cLOW_stTrue_r1_0.80,372.36,141.28,1:14.72,1155343292, 12 ,687%
RefSeqV205_Complete_ani99_cLOW_stTrue_r3_0.65,359.71,136.91,1:13.16,1160519656, 12 ,678%
RefSeqV205_Complete_ani100_cLOW_stFalse_r4_0.80,420.69,150.76,1:27.82,1152817936, 12 ,650%
RefSeqV205_Complete_ani97_cLOW_stTrue_r9_0.00,371.89,130.04,1:18.97,1159818048, 12 ,635%
RefSeqV205_Complete_BioPool_0.95,17.49,49.89,0:18.91,456962644, 12 ,356%
RefSeqV205_Complete_ani97_cHIGH_stFalse_r3_0.30,373.88,140.61,1:16.80,1161627112, 12 ,669%
RefSeqV205_Complete_ani99_cHIGH_stTrue_r3_0.30,364.81,135.98,1:13.50,1161907100, 12 ,681%
RefSeqV205_Complete_UnAmbiguouslyMapped_ds.hous1_0.60,12.22,44.93,0:16.92,422862180, 12 ,337%
RefSeqV205_Complete_ani99_cHIGH_stFalse_r1_0.20,359.59,136.79,1:13.04,1158453324, 12 ,679%
RefSeqV205_Complete_Huttenhower_LC8_0.50,4.29,25.29,0:10.12,235330468, 12 ,292%
RefSeqV205_Complete_ani99_cLOW_stFalse_r4_0.70,357.54,138.03,1:14.52,1153871576, 12 ,664%
RefSeqV205_Complete_ani100_cHIGH_stTrue_r4_0.40,413.95,152.38,1:24.44,1161927020, 12 ,670%
RefSeqV205_Complete_ani95_cLOW_stFalse_r1_0.65,398.35,129.75,1:15.26,1115098760, 12 ,701%
RefSeqV205_Complete_ani100_cLOW_stFalse_r3_0.00,413.58,150.50,1:29.62,1145172472, 12 ,629%
RefSeqV205_Complete_ani100_cHIGH_stFalse_r8_0.90,421.34,139.05,1:22.16,1161908924, 12 ,682%
RefSeqV205_Complete_Huttenhower_LC3_0.45,4.33,23.64,0:09.23,217854412, 12 ,303%
RefSeqV205_Complete_ani100_cLOW_stTrue_r7_0.25,416.21,140.24,1:21.00,1137305168, 12 ,686%
RefSeqV205_Complete_ani99_cHIGH_stTrue_r8_0.25,379.32,139.43,1:16.17,1161914152, 12 ,681%
RefSeqV205_Complete_NA12878_NegControl_SL126486_0_0.90,534.34,143.09,1:27.90,1161990888, 12 ,770%
RefSeqV205_Complete_ani100_cLOW_stTrue_r5_1.00,412.46,136.23,1:18.81,1155617452, 12 ,696%
RefSeqV205_Complete_ani100_cHIGH_stFalse_r3_0.85,405.64,136.22,1:19.22,1160716632, 12 ,683%
RefSeqV205_Complete_ani95_cLOW_stTrue_r0_0.05,414.90,136.53,1:20.89,1156110992, 12 ,681%
RefSeqV205_Complete_ani100_cLOW_stFalse_r8_0.15,439.62,139.85,1:22.54,1124703148, 12 ,702%
RefSeqV205_Complete_ani97_cLOW_stTrue_r5_0.95,376.14,139.72,1:14.64,1160931232, 12 ,691%
RefSeqV205_Complete_ani97_cLOW_stTrue_r2_0.15,359.10,137.74,1:13.47,1158020964, 12 ,676%
RefSeqV205_Complete_ani95_cLOW_stTrue_r7_0.85,379.09,135.47,1:15.86,1148368180, 12 ,678%
RefSeqV205_Complete_MGRG_nanopore_b8.pass.2d_0.70,0.15,0.31,0:00.36,2392924, 12 ,125%
RefSeqV205_Complete_ani99_cLOW_stTrue_r8_0.70,358.35,138.66,1:15.21,1155555628, 12 ,660%
RefSeqV205_Complete_ani97_cHIGH_stTrue_r0_0.35,397.73,140.02,1:16.94,1161952332, 12 ,698%
RefSeqV205_Complete_ani100_cHIGH_stFalse_r4_0.05,410.99,137.62,1:23.74,1162009628, 12 ,655%
RefSeqV205_Complete_ani97_cLOW_stFalse_r7_0.75,366.12,137.40,1:14.97,1133447052, 12 ,671%
RefSeqV205_Complete_MGRG_nanopore_R6_2d_pass_0.65,17.30,82.00,0:29.84,791498228, 12 ,332%
RefSeqV205_Complete_ani97_cHIGH_stFalse_r8_0.25,348.26,129.91,1:10.59,1161890664, 12 ,677%
RefSeqV205_Complete_MGRG_nanopore_b1.fail.2d_0.45,0.23,1.21,0:01.33,10243812, 12 ,108%
RefSeqV205_Complete_UnAmbiguouslyMapped_ds.nycsm_0.40,7.78,28.55,0:11.26,256373604, 12 ,322%
RefSeqV205_Complete_MGRG_nanopore_b7.fail.2d_0.60,2.55,19.43,0:08.33,182693644, 12 ,263%
RefSeqV205_Complete_Mavromatis_simHC_0.00,23.20,106.44,0:44.31,936598064, 12 ,292%
RefSeqV205_Complete_ani99_cHIGH_stTrue_r5_1.00,367.42,139.43,1:15.85,1161921296, 12 ,668%
RefSeqV205_Complete_ani99_cHIGH_stTrue_r7_0.25,369.75,136.79,1:13.96,1161941336, 12 ,684%
RefSeqV205_Complete_ani100_cLOW_stTrue_r8_0.25,404.09,136.16,1:18.46,1156257836, 12 ,688%
RefSeqV205_Complete_ani99_cHIGH_stFalse_r5_0.35,366.78,137.79,1:14.17,1161639112, 12 ,680%
RefSeqV205_Complete_JGI_SRR033549_0.85,25.86,61.19,0:22.86,583691324, 12 ,380%
RefSeqV205_Complete_ani99_cLOW_stFalse_r0_0.65,363.34,126.80,1:09.50,1058005328, 12 ,705%
RefSeqV205_Complete_ani100_cHIGH_stTrue_r0_0.55,460.76,155.10,1:28.93,1161967372, 12 ,692%
RefSeqV205_Complete_ani95_cLOW_stFalse_r5_0.70,370.45,125.44,1:11.86,1137303500, 12 ,690%
RefSeqV205_Complete_ani100_cLOW_stFalse_r7_0.15,439.76,147.63,1:24.37,1146973716, 12 ,696%
RefSeqV205_Complete_ani97_cLOW_stFalse_r8_0.75,344.47,129.27,1:09.45,1116094112, 12 ,682%
RefSeqV205_Complete_UnAmbiguouslyMapped_ds.frankengenome_0.95,17.27,65.31,0:24.79,610934684, 12 ,333%
RefSeqV205_Complete_ani99_cLOW_stTrue_r7_0.70,360.74,137.60,1:15.49,1149719116, 12 ,660%
RefSeqV205_Complete_UnAmbiguouslyMapped_ds.gut_0.20,7.36,26.28,0:10.29,236809188, 12 ,326%
RefSeqV205_Complete_ani95_cLOW_stTrue_r8_0.85,379.25,134.24,1:15.38,1151621648, 12 ,681%
RefSeqV205_Complete_ani100_cLOW_stFalse_r0_0.95,424.84,145.75,1:22.34,1115774124, 12 ,692%
RefSeqV205_Complete_*_0.90,0.03,0.01,0:00.03,6704, 12 ,121%
RefSeqV205_Complete_ani97_cHIGH_stFalse_r5_1.00,384.24,141.33,1:17.35,1161308024, 12 ,679%
RefSeqV205_Complete_MGRG_nanopore_b9.pass.2d_0.30,0.11,0.01,0:00.04,70732, 12 ,293%
RefSeqV205_Complete_ABRF_MGRG_Normal_0.85,85.53,63.27,0:28.13,532275340, 12 ,528%
RefSeqV205_Complete_ABRF_MGRG_5ng_0.45,90.31,77.29,0:32.87,652390180, 12 ,509%
RefSeqV205_Complete_ani97_cHIGH_stFalse_r7_0.25,379.82,143.16,1:17.95,1161894036, 12 ,670%
RefSeqV205_Complete_BMI_bmi_reads_0.85,112.17,126.90,0:54.16,1157948328, 12 ,441%
RefSeqV205_Complete_JGI_SRR033548_0.20,1.04,8.17,0:04.56,68208700, 12 ,201%
RefSeqV205_Complete_ani99_cHIGH_stTrue_r6_0.80,373.58,136.32,1:13.73,1161937764, 12 ,691%
RefSeqV205_Complete_ani100_cLOW_stTrue_r9_0.80,403.37,136.50,1:18.29,1151056544, 12 ,689%
RefSeqV205_Complete_ani99_cHIGH_stFalse_r4_0.90,363.00,135.97,1:15.49,1161594576, 12 ,660%
RefSeqV205_Complete_ani97_cHIGH_stFalse_r1_0.00,350.45,133.62,1:16.39,1161880232, 12 ,633%
RefSeqV205_Complete_ani99_cLOW_stTrue_r1_0.55,350.49,134.77,1:11.61,1132731828, 12 ,677%
RefSeqV205_Complete_ani97_cHIGH_stTrue_r9_0.10,386.66,138.58,1:16.12,1161937084, 12 ,690%
RefSeqV205_Complete_NA12878_NegControl_SL126488_0_0.80,349.47,137.32,1:13.97,1161915020, 12 ,658%
